Date,IBOV
2020-04-01,97.18844152287045
2020-04-02,98.94960284853465
2020-04-03,95.23144344015337
2020-04-06,101.44207066557107
2020-04-07,104.5713503149822
2020-04-08,107.67597918378526
2020-04-09,106.38455217748562
2020-04-13,107.96494111202408
2020-04-14,109.44672692413036
2020-04-15,107.9580936729663
2020-04-16,106.56258559298821
2020-04-17,108.1758422350041
2020-04-20,108.1525609422076
2020-04-22,110.49986305121881
2020-04-23,109.11120241029852
2020-04-24,103.16488633251161
2020-04-27,107.14735688852366
2020-04-28,111.35579293344287
2020-04-29,113.9016707751301
2020-04-30,110.25198575732675
2020-05-04,108.01972062448644
2020-05-05,108.83456587236373
2020-05-06,108.27718433305944
2020-05-07,106.98301835113668
2020-05-08,109.91920021911805
2020-05-11,108.27855382087101
2020-05-12,106.64475486168176
2020-05-13,106.50780608052592
2020-05-14,108.20460147904689
2020-05-15,106.21336620104087
2020-05-18,111.19419337167906
2020-05-19,110.57518488085462
2020-05-20,111.36537934812385
2020-05-21,113.70446453026572
2020-05-22,112.53492193919482
2020-05-25,117.31443440153389
2020-05-26,117.04875376609154
2020-05-27,120.4409750753219
2020-05-28,119.0755957271981
2020-05-29,119.69734319364565
2020-06-01,121.36400986031232
2020-06-02,124.68638729115318
2020-06-03,127.36510545056154
2020-06-04,128.4976718707204
2020-06-05,129.60421802245966
2020-06-08,133.7236373596276
2020-06-09,132.49383730484809
2020-06-10,129.67132292522606
2020-06-12,127.081621473569
2020-06-15,126.50780608052601
2020-06-16,128.08956450287604
2020-06-17,130.85045193097795
2020-06-18,131.64201588605874
2020-06-19,132.2541769378254
2020-06-22,130.56149000273913
2020-06-23,131.436592714325
2020-06-24,129.24815119145455
2020-06-25,131.44754861681747
2020-06-26,128.5045193097783
2020-06-29,131.10791563955095
2020-06-30,130.17803341550277
2020-07-01,131.74883593536032
2020-07-02,131.79265954533022
2020-07-03,132.5184880854562
2020-07-06,135.49301561216123
2020-07-07,133.88249794576848
2020-07-08,136.63379895918945
2020-07-09,135.79841139413878
2020-07-10,136.99260476581776
2020-07-13,135.16433853738718
2020-07-14,137.5513557929336
2020-07-15,139.40153382634912
2020-07-16,137.70610791563973
2020-07-17,140.90386195562877
2020-07-20,143.01013420980573
2020-07-21,142.85127362366495
2020-07-22,142.8238838674338
2020-07-23,140.08901670775154
2020-07-24,140.21090112298023
2020-07-27,143.07997808819525
2020-07-28,142.57600657354172
2020-07-29,144.6247603396332
2020-07-30,143.80854560394437
2020-07-31,140.93672966310623
2020-08-03,140.82443166255845
