Date,IBOV
2023-04-03,99.63094560373766
2023-04-04,99.98724014055477
2023-04-05,99.112699004731
2023-04-06,98.95958069138811
2023-04-10,99.96564653226284
2023-04-11,104.25197777821404
2023-04-12,104.91549046936657
2023-04-13,104.49147052472473
2023-04-14,104.31577707544027
2023-04-17,104.05763530358654
2023-04-18,104.20191986808271
2023-04-19,101.99348265640647
2023-04-20,102.43909620934026
2023-04-24,102.02685459649403
2023-04-25,101.3132839952102
2023-04-26,100.42205688934264
2023-04-27,101.02177028326895
2023-04-28,102.5028955065665
2023-05-02,100.0441687442336
2023-05-03,99.91657014978121
2023-05-04,100.28660607369318
2023-05-05,103.20566930370438
2023-05-08,104.08315502247707
2023-05-09,105.1353526628846
2023-05-10,105.46318289786234
2023-05-11,106.25625723876652
2023-05-12,106.46041498989037
2023-05-15,107.0149781119335
2023-05-16,106.1954025244892
2023-05-17,107.4380165289257
2023-05-18,108.07404644588846
2023-05-19,108.69927955870524
2023-05-22,108.17710684910003
2023-05-23,107.89835299660399
2023-05-24,106.79020828016735
2023-05-25,108.02104395280823
2023-05-26,108.85730551029631
2023-05-29,108.2948901670561
2023-05-30,106.95412339765622
2023-05-31,106.33379792308759
2023-06-01,108.52260458177116
2023-06-02,110.4787891874915
2023-06-05,110.61424000314098
2023-06-06,112.49288392454024
2023-06-07,113.35466520091879
2023-06-09,114.85738403250826
2023-06-12,115.1685282974422
2023-06-13,114.5864824012093
2023-06-14,116.86951571425774
2023-06-15,117.01870791700209
2023-06-16,116.5642606152216
2023-06-19,117.64394102981888
2023-06-20,117.41230050450528
2023-06-21,118.19555956891313
2023-06-22,116.73700948155717
2023-06-23,116.77921517049141
2023-06-26,116.05877387566015
2023-06-27,115.35207396792376
2023-06-28,114.52562768693201
2023-06-29,116.1961877466089
2023-06-30,115.90565556231726
2023-07-03,117.46235841463661
2023-07-04,116.8763864078052
2023-07-05,117.34064898608206
2023-07-06,115.2568657859093
2023-07-07,116.70167448617039
2023-07-10,115.7633340531204
2023-07-11,115.05467109008474
2023-07-12,115.49243242182146
2023-07-13,117.06091360593642
2023-07-14,115.536601166055
2023-07-17,116.035217212069
2023-07-18,115.66419976050739
2023-07-19,115.3805382697632
2023-07-20,115.90172945171882
2023-07-21,117.99630945603754
2023-07-24,119.10052806187565
2023-07-25,119.75422547653183
2023-07-26,120.29602873912975
2023-07-27,117.77350267957063
2023-07-28,117.96686362654852
2023-07-31,119.69042617930563
2023-08-01,119.00826446281008
2023-08-02,118.6264502071025
2023-08-03,118.35849315875247
2023-08-04,117.30040635244711
2023-08-07,117.17477081329397
2023-08-08,116.89012779490014
2023-08-09,116.22170746549945
2023-08-10,116.16379733417104
2023-08-11,115.88406195402538
2023-08-14,114.65224475373486
2023-08-15,114.02504858561882
2023-08-16,113.4567440764808
2023-08-17,112.85801221020415
2023-08-18,113.27712451659784
2023-08-21,112.31522741995663
2023-08-22,114.01032567087437
2023-08-23,115.95276888949984
2023-08-24,114.86425472605586
2023-08-25,113.69721835064115
2023-08-28,114.95749985277106
2023-08-29,116.21679982725132
2023-08-30,115.36385229971948
2023-08-31,113.60397322392592
2023-09-01,115.71523919828843
2023-09-04,115.6013819909309
2023-09-05,115.1636206591942
2023-09-06,113.84248444278697
2023-09-08,113.182897862233
2023-09-11,114.72389627215821
2023-09-12,115.78885377201098
2023-09-13,115.99301152313481
2023-09-14,117.18654914508961
2023-09-15,116.56426061522171
2023-09-18,116.10294261989378
2023-09-19,115.6691073987556
2023-09-20,116.50242437329477
2023-09-21,113.99952886672835
2023-09-22,113.86604110637815
2023-09-25,113.7835927838089
2023-09-26,112.08358689464302
2023-09-27,112.21511159969397
2023-09-28,113.59317641977995
2023-09-29,114.41177047957463
2023-10-02,112.93162678392672
2023-10-03,111.3238844938264
2023-10-04,111.50841169195758
2023-10-05,111.19137826112582
2023-10-06,112.06101175870144
2023-10-09,113.02879802124046
2023-10-10,114.58059323531164
2023-10-11,114.88879291729668
2023-10-13,113.61575155572154
2023-10-16,114.38134312243598
2023-10-17,113.76690681376516
2023-10-18,111.95304371724173
2023-10-19,111.89807816886224
2023-10-20,111.06476119432304
2023-10-23,110.70159596395852
2023-10-24,111.66054847765085
2023-10-25,110.74576470819208
2023-10-26,112.65679904202928
2023-10-27,111.20806423116967
2023-10-30,110.4532694686012
2023-10-31,111.05396439017714
2023-11-01,112.92770067332825
2023-11-03,115.97730708074074
2023-11-06,116.29826662217104
2023-11-07,117.06483971653512
2023-11-08,116.89896154374699
2023-11-09,116.81356863822884
2023-11-10,118.40756954123428
2023-11-13,118.15237235232946
2023-11-14,121.04984197404873
2023-11-16,122.27478848079183
2023-11-17,122.75181091851391
2023-11-20,123.7657289805857
2023-11-21,123.2867434875644
2023-11-22,123.70683732160768
2023-11-23,124.23784378005962
2023-11-24,123.2229441903382
2023-11-27,123.36133958893656
2023-11-28,124.20054572937353
2023-11-29,123.77161814648352
2023-11-30,124.9788971555332
2023-12-01,125.73663650105058
2023-12-04,124.46065055652653
2023-12-05,124.55880332148995
2023-12-06,123.30244792995857
2023-12-07,123.68229913036689
2023-12-08,124.74627510257004
2023-12-11,124.57156318093521
2023-12-12,124.06803949667302
2023-12-13,127.073477159852
2023-12-14,128.42504073339788
2023-12-15,127.79195539938402
2023-12-18,128.6625704246093
2023-12-19,129.4154021318785
2023-12-20,128.3877426827118
2023-12-21,129.74028778390732
2023-12-22,130.30074007184825
2023-12-26,131.0663316385627
2023-12-27,131.71512141497067
2023-12-28,131.70628766612398
2024-01-02,130.24577452346875
2024-01-03,130.3802438114686
2024-01-04,128.8019473508573
2024-01-05,129.5842248876155
2024-01-08,129.98076205806763
2024-01-09,129.0188649614264
2024-01-10,128.42405920574828
2024-01-11,128.23560589701856
2024-01-12,128.56834377024447
2024-01-15,129.09149800749935
2024-01-16,126.90563593176469
2024-01-17,126.14985964154661
2024-01-18,124.96417424078889
2024-01-19,125.27826308867174
2024-01-22,124.26336349895031
2024-01-23,125.8936809249922
2024-01-24,125.45493806560589
2024-01-25,125.80141732592665
2024-01-26,126.58467639033448
2024-01-29,126.12924756090436
2024-01-30,125.04858561865744
2024-01-31,125.3921202960293
2024-02-01,126.10765395261241
2024-02-02,124.83264953573799
2024-02-05,125.2360573997375
2024-02-06,128.006909954654
2024-02-07,127.21383561374981
2024-02-08,125.84853065310908
2024-02-09,125.661058872029
2024-02-14,124.67167900119804
2024-02-15,125.44315973381029
2024-02-16,126.34812822677273
2024-02-19,126.65240179815925
2024-02-20,127.51614612983708
2024-02-21,127.63000333719461
2024-02-22,127.8351426159681
2024-02-23,127.02832688796903
2024-02-26,127.21481714139946
2024-02-27,129.25639465263797
2024-02-28,127.75073123809959
2024-02-29,126.63669735576512
2024-03-01,126.79374177970655
2024-03-04,125.9702400816637
2024-03-05,125.73172886280268
2024-03-06,126.50909876131273
2024-03-07,125.96925855401409
2024-03-08,124.72369996662869
2024-03-11,123.79419328242538
2024-03-12,125.3096719734601
2024-03-13,125.64142831903635
2024-03-14,125.33126558175205
2024-03-15,124.40077736989915
2024-03-18,124.60886123162152
2024-03-19,125.173239630161
2024-03-20,126.73975775897671
2024-03-21,125.79160204943037
2024-03-22,124.6805127500448
2024-03-25,124.58628609567994
2024-03-26,124.51954221550486
2024-03-27,125.33224710940172
2024-03-28,125.73958108399977
