,endDate,Piotroski_SCORE
0,2025-12-31,5
1,2024-12-31,7
2,2023-12-31,7
3,2022-12-31,6
4,2021-12-31,8
5,2020-12-31,5
6,2019-12-31,6
7,2018-12-31,6
8,2017-12-31,5
9,2016-12-31,6
10,2015-12-31,8
11,2014-12-31,5
12,2013-12-31,2
