,endDate,Piotroski_SCORE
0,2025-12-31,6
1,2024-12-31,7
2,2023-12-31,6
3,2022-12-31,2
4,2021-12-31,5
5,2020-12-31,7
6,2019-12-31,5
7,2018-12-31,7
8,2017-12-31,2
9,2016-12-31,3
10,2015-12-31,4
11,2014-12-31,4
12,2013-12-31,5
13,2012-12-31,2
