,endDate,Piotroski_SCORE
0,2025-12-31,7
1,2024-12-31,6
2,2023-12-31,3
3,2022-12-31,3
4,2021-12-31,5
5,2020-12-31,6
6,2019-12-31,4
7,2018-12-31,6
8,2017-12-31,4
9,2016-12-31,2
10,2015-12-31,5
11,2014-12-31,4
12,2013-12-31,6
13,2012-12-31,2
