CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
00.864.214/0001-06;2025-03-31;1;ENERGISA S.A.;887231247;1402193416;2289424663;754475;3017900;3772375
00.864.214/0001-06;2025-06-30;1;ENERGISA S.A.;886476772;1399175516;2285652288;754475;3017900;3772375
00.864.214/0001-06;2025-09-30;1;ENERGISA S.A.;887231247;1402193416;2289424663;754475;3017900;3772375
00.873.894/0001-24;2025-03-31;1;LETS RENT A CAR S/A;578986;0;578986;0;0;0
00.873.894/0001-24;2025-06-30;1;LETS RENT A CAR S/A;578986;0;578986;0;0;0
00.873.894/0001-24;2025-09-30;1;LETS RENT A CAR S/A;578986;0;578986;0;0;0
00.897.864/0001-58;2025-03-31;1;SANTA CATARINA PART INVEST SA;200;0;200;0;0;0
00.897.864/0001-58;2025-06-30;1;SANTA CATARINA PART INVEST SA;200;0;200;0;0;0
00.897.864/0001-58;2025-09-30;1;SANTA CATARINA PART INVEST SA;200;0;200;0;0;0
00.924.429/0001-75;2025-03-31;1;FERROVIA CENTRO-ATLANTICA S.A.;142807783;20;142807803;0;0;0
00.924.429/0001-75;2025-06-30;1;FERROVIA CENTRO-ATLANTICA S.A.;356005843;19;356005862;0;0;0
00.924.429/0001-75;2025-09-30;1;FERROVIA CENTRO-ATLANTICA S.A.;356005843;19;356005862;0;0;0
00.938.574/0001-05;2025-03-31;1;CONC RIO-TERESOPOLIS S.A.;48786;37680;86466;0;0;0
00.938.574/0001-05;2025-06-30;1;CONC RIO-TERESOPOLIS S.A.;48786;37680;86466;0;0;0
00.938.574/0001-05;2025-09-30;1;CONC RIO-TERESOPOLIS S.A.;48786;37680;86466;0;0;0
00.974.211/0001-25;2025-03-31;1;LINHA AMARELA S.A. - LAMSA;70666879;141333771;212000650;0;0;0
00.974.211/0001-25;2025-06-30;1;LINHA AMARELA S.A. - LAMSA;70666879;141333771;212000650;0;0;0
00.974.211/0001-25;2025-09-30;1;LINHA AMARELA S.A. - LAMSA;70666879;141333771;212000650;0;0;0
00.979.969/0001-56;2025-03-31;1;CAIXA ADM DIV PUB ESTADUAL SA;2402611661;0;2402611661;0;0;0
00.979.969/0001-56;2025-06-30;1;CAIXA ADM DIV PUB ESTADUAL SA;4069715169;0;4069715169;0;0;0
00.979.969/0001-56;2025-09-30;1;CAIXA ADM DIV PUB ESTADUAL SA;4069715169;0;4069715169;0;0;0
01.027.058/0001-91;2025-03-31;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2668174120;0;2668174120;5842;0;5842
01.027.058/0001-91;2025-06-30;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2668174120;0;2668174120;5842;0;5842
01.027.058/0001-91;2025-09-30;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2668174120;0;2668174120;5842;0;5842
01.083.200/0001-18;2025-03-31;1;NEOENERGIA S.A.;1213797248;0;1213797248;0;0;0
