Date,IBOV
2019-04-01,100.66970602106586
2019-04-02,99.97065450924907
2019-04-03,99.03159880521932
2019-04-04,100.941151810512
2019-04-05,101.7743541371902
2019-04-08,102.04789603311852
2019-04-09,100.91914269244882
2019-04-10,100.56385264371434
2019-04-11,99.30828486087098
2019-04-12,97.33794476759425
2019-04-15,97.555939841744
2019-04-16,98.86600639312483
2019-04-17,97.76764659644716
2019-04-18,99.12277943719548
2019-04-22,99.13325996960653
2019-04-23,100.53241104648126
2019-04-24,99.61222030079136
2019-04-25,101.19163653513607
2019-04-26,100.86045171094702
2019-04-29,100.81014515537399
2019-04-30,100.98307394015625
2019-05-02,100.11843001624491
2019-05-03,100.62149557197515
2019-05-06,99.57449038411163
2019-05-07,98.92469737462673
2019-05-08,100.19074568988115
2019-05-09,99.3638316826496
2019-05-10,98.78740240004205
2019-05-13,96.1347796468062
2019-05-14,96.51731907980938
2019-05-15,96.0257821097313
2019-05-16,94.34994497720497
2019-05-17,94.31745532673074
2019-05-20,96.36430330660812
2019-05-21,99.02531048577283
2019-05-22,98.89535188387588
2019-05-23,98.42267987213768
2019-05-24,98.12712885814616
2019-05-27,99.4225226641515
2019-05-28,101.02499606980051
2019-05-29,101.20735733375273
2019-05-30,102.14012471833584
2019-05-31,101.69260598438416
2019-06-03,101.6821254519731
2019-06-04,102.05942461877078
2019-06-05,100.61206309280526
2019-06-06,101.87601530157747
2019-06-07,102.52161609809794
2019-06-10,102.15060525074688
2019-06-11,103.71534873971613
2019-06-12,103.04564271865027
2019-06-13,103.5204108368707
2019-06-14,102.75113975789989
2019-06-17,102.31410155635925
2019-06-18,104.18068437876664
2019-06-19,105.12288424251972
2019-06-21,106.91505528480869
2019-06-24,106.96640989362282
2019-06-25,104.90279306188776
2019-06-26,105.52743279358614
2019-06-27,105.5641146570248
2019-06-28,105.81879159461323
2019-07-01,106.20971545354524
2019-07-02,105.43939632133332
2019-07-03,106.94649688204181
2019-07-04,108.61604569512151
2019-07-05,109.09081381334191
2019-07-08,109.55300529266907
2019-07-10,110.90184981397076
2019-07-11,110.19860608918954
2019-07-12,108.89902007021976
2019-07-15,108.791070586386
2019-07-16,108.76172509563509
2019-07-17,108.84661740816458
2019-07-18,109.74899124875567
2019-07-19,108.4232038987583
2019-07-22,108.94408635958732
2019-07-23,108.68731331551669
2019-07-24,109.12330346381623
2019-07-25,107.58790546559793
2019-07-26,107.75978619713908
2019-07-29,108.45569354923259
2019-07-30,107.87926426662504
2019-07-31,106.70439658334672
2019-08-01,107.03348530105359
2019-08-02,107.60781847717895
2019-08-05,104.90803332809338
2019-08-06,107.07331132421558
2019-08-07,107.72100822721826
2019-08-08,109.11806319761075
2019-08-09,108.9933448619193
2019-08-12,106.81234606718053
2019-08-13,108.26285175286937
2019-08-14,105.0757218466701
2019-08-15,103.81700990410343
2019-08-16,104.60200178169082
2019-08-19,104.24880783943856
2019-08-20,103.9899386888857
2019-08-21,106.0650841062729
2019-08-22,104.8168526961173
2019-08-23,102.360215898968
2019-08-26,101.06377403972155
2019-08-27,101.95042708169608
2019-08-28,102.91253995703013
2019-08-29,105.35450400880397
2019-08-30,105.99486453911891
2019-09-02,105.46140543939664
2019-09-03,104.47099512655275
2019-09-04,106.06403605303183
2019-09-05,107.15610753026287
2019-09-06,107.88136037310731
2019-09-09,108.13918147041906
2019-09-10,107.98302153749447
2019-09-11,108.41691557931179
2019-09-12,109.3863648273336
2019-09-13,108.47455850757255
2019-09-16,108.66216003773029
2019-09-17,109.64418592464536
2019-09-18,109.55510139915148
2019-09-19,109.35282712361828
2019-09-20,109.85379657286632
2019-09-23,109.66619504270858
2019-09-24,108.86757847298685
2019-09-25,109.50165068385517
2019-09-26,110.37991929990088
2019-09-27,110.12733846879466
2019-09-30,109.77833673950683
2019-10-01,109.05308389666241
2019-10-02,105.88586700204417
2019-10-03,106.39417282397991
2019-10-04,107.47890792852324
2019-10-07,105.40585861761824
2019-10-08,104.78541109888431
2019-10-09,106.11434260860501
2019-10-10,106.70963684955245
2019-10-11,108.82146413037835
2019-10-14,109.31404915369751
2019-10-15,109.5110831630252
2019-10-16,110.48891683697586
2019-10-17,110.06235916784628
2019-10-18,109.76156788764924
2019-10-21,111.11670072839756
2019-10-22,112.54100508305878
