date,0
2016-04-01,100.54530639505779
2016-04-04,97.73526521330683
2016-04-05,97.55558302159007
2016-04-06,96.03932902709236
2016-04-07,96.26515157415818
2016-04-08,100.10738530967906
2016-04-11,99.48262114504206
2016-04-12,102.77614719809915
2016-04-13,104.4490981514766
2016-04-14,103.91198774361561
2016-04-15,105.6689848085746
2016-04-18,105.61654684147463
2016-04-19,107.87784392183892
2016-04-20,107.56370045444328
2016-04-22,108.4720917425303
2016-04-25,106.75089465359473
2016-04-26,108.6567634643689
2016-04-27,109.84834917639756
2016-04-28,109.62529365623968
2016-04-29,110.65789783658424
2016-05-02,110.4048986854401
2016-05-03,108.2797605531195
2016-05-04,108.31379746072547
2016-05-05,106.66851541774538
2016-05-06,108.53396875297258
2016-05-09,108.79465685115068
2016-05-10,112.04235851337872
2016-05-11,112.24852099886505
2016-05-12,113.64884187685827
2016-05-13,112.48811214919444
2016-05-16,111.68081854013909
2016-05-17,110.01935069939397
2016-05-18,110.09694968418351
2016-05-19,111.57704460080436
2016-05-20,111.16439000703444
2016-05-23,108.84702006516069
2016-05-24,109.45458349977764
2016-05-25,108.73432725162108
2016-05-27,108.5274457968556
2016-05-30,108.62292857690068
2016-05-31,110.56165874535392
2016-06-01,110.38186328890714
2016-06-02,113.56715326276081
2016-06-03,115.65482851450844
2016-06-06,113.98441306873946
2016-06-07,114.18257763974715
2016-06-08,116.51671172309509
2016-06-09,116.27245618791031
2016-06-10,114.13879793406298
2016-06-13,114.02055083416909
2016-06-14,113.98908604823596
2016-06-15,113.83687925003703
2016-06-16,114.60677837772175
2016-06-17,114.14664180413612
2016-06-20,116.10655900026912
2016-06-21,117.80903985743197
2016-06-22,116.96637757639283
2016-06-23,119.69985208984146
2016-06-24,117.61902284480625
2016-06-27,118.08134585661863
2016-06-28,118.78841396011089
2016-06-29,121.11396590844465
2016-06-30,122.86472415421808
2016-07-01,123.2672450101793
2016-07-04,123.68189337933092
2016-07-05,122.75345368024009
2016-07-06,122.38193181954746
2016-07-07,122.35517161738234
2016-07-08,125.88577867866952
2016-07-11,127.68312511432762
2016-07-12,129.26078278996422
2016-07-13,131.04530953873962
2016-07-14,132.8099001468674
2016-07-15,132.7357911050719
2016-07-18,134.46901214664467
2016-07-19,134.15049769218479
2016-07-20,132.02359556556058
2016-07-21,131.8204303392517
2016-07-22,132.2741293707573
2016-07-25,131.88396992546697
2016-07-26,131.44394284838435
2016-07-27,131.98827322313383
2016-07-28,133.30622256848733
2016-07-29,134.1576875440407
2016-08-01,133.80662244295794
2016-08-02,133.0442365463383
2016-08-03,132.3019814476559
2016-08-04,133.04262873700972
2016-08-05,132.78360669950598
2016-08-08,133.07764250541445
