,ABEV3,ALOS3,ANIM3,AXIA3,AZZA3,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRAV3,BRKM5,CMIG4,COGN3,CPFE3,CPLE3,CSAN3,CSMG3,CSNA3,CVCB3,CXSE3,CYRE3,DIRR3,ECOR3,EGIE3,EMBJ3,ENEV3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GOAU4,HYPE3,IGTI11,IRBR3,ISAE4,ITSA4,ITUB3,ITUB4,JHSF3,KLBN11,LREN3,MDNE3,MGLU3,MOTV3,MOVI3,MRVE3,MULT3,PETR3,PETR4,POMO4,PRIO3,PSSA3,RADL3,RAIL3,RAPT4,RENT3,SANB11,SAPR11,SBSP3,SLCE3,SMFT3,SMTO3,SUZB3,TAEE11,TEND3,TOTS3,UGPA3,USIM5,VALE3,VBBR3,VIVT3,WEGE3,YDUQ3
2015,0.8846153846153846,0.3076923076923077,0.6410256410256411,0.0641025641025641,0.6923076923076923,0.8974358974358975,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.01282051282051282,0.6538461538461539,0.3076923076923077,0.02564102564102564,0.3076923076923077,0.6153846153846154,0.9871794871794872,0.8589743589743589,0.5897435897435898,0.717948717948718,0.8717948717948718,0.8076923076923077,0.6282051282051282,0.9230769230769231,0.3076923076923077,0.6025641025641025,0.5256410256410257,0.9743589743589743,0.3076923076923077,0.47435897435897434,0.3076923076923077,0.8333333333333334,0.7948717948717948,0.8461538461538461,0.6794871794871795,0.11538461538461539,0.08974358974358974,0.5128205128205128,0.3076923076923077,0.3076923076923077,0.9358974358974359,0.9102564102564102,0.3076923076923077,0.3076923076923077,0.8205128205128205,0.48717948717948717,0.7435897435897436,0.3076923076923077,0.782051282051282,0.038461538461538464,0.3076923076923077,0.5384615384615384,0.9615384615384616,0.14102564102564102,0.1282051282051282,0.5,0.10256410256410256,0.15384615384615385,0.7564102564102564,0.3076923076923077,0.46153846153846156,0.7051282051282052,0.3076923076923077,0.3076923076923077,1.0,0.5769230769230769,0.3076923076923077,0.3076923076923077,0.5512820512820513,0.9487179487179487,0.3076923076923077,0.7692307692307693,0.7307692307692307,0.05128205128205128,0.07692307692307693,0.3076923076923077,0.6666666666666666,0.5641025641025641,0.3076923076923077
2016,0.8974358974358975,0.24358974358974358,0.5384615384615384,0.8333333333333334,0.6666666666666666,0.6025641025641025,0.24358974358974358,0.24358974358974358,0.24358974358974358,1.0,0.6410256410256411,0.24358974358974358,0.8589743589743589,0.24358974358974358,0.7051282051282052,0.9487179487179487,0.8076923076923077,0.6282051282051282,0.7435897435897436,0.8461538461538461,0.8846153846153846,0.5,0.9358974358974359,0.24358974358974358,0.46153846153846156,0.38461538461538464,0.9743589743589743,0.6923076923076923,0.4358974358974359,0.5256410256410257,0.8205128205128205,0.7948717948717948,0.5641025641025641,0.7564102564102564,0.07692307692307693,0.0641025641025641,0.6538461538461539,0.24358974358974358,0.24358974358974358,0.9871794871794872,0.9102564102564102,0.24358974358974358,0.24358974358974358,0.05128205128205128,0.44871794871794873,0.717948717948718,0.24358974358974358,0.8717948717948718,0.02564102564102564,0.24358974358974358,0.5128205128205128,0.9615384615384616,0.41025641025641024,0.4230769230769231,0.5897435897435898,0.038461538461538464,0.10256410256410256,0.7692307692307693,0.24358974358974358,0.3974358974358974,0.6153846153846154,0.24358974358974358,0.24358974358974358,0.01282051282051282,0.48717948717948717,0.24358974358974358,0.24358974358974358,0.47435897435897434,0.9230769230769231,0.24358974358974358,0.782051282051282,0.6794871794871795,0.08974358974358974,0.5512820512820513,0.24358974358974358,0.7307692307692307,0.5769230769230769,0.24358974358974358
2017,0.9102564102564102,0.1858974358974359,0.5512820512820513,0.46153846153846156,0.6282051282051282,0.8589743589743589,0.1858974358974359,0.1858974358974359,0.1858974358974359,0.9615384615384616,0.5256410256410257,0.1858974358974359,0.01282051282051282,0.1858974358974359,0.7435897435897436,0.8846153846153846,0.7307692307692307,0.7564102564102564,0.6538461538461539,0.8717948717948718,0.7948717948717948,0.5,0.8333333333333334,0.1858974358974359,0.2948717948717949,0.05128205128205128,0.9230769230769231,0.717948717948718,0.358974358974359,0.5128205128205128,0.8461538461538461,0.782051282051282,0.6794871794871795,0.7051282051282052,0.32051282051282054,0.3333333333333333,0.02564102564102564,0.1858974358974359,0.07692307692307693,0.9358974358974359,0.9487179487179487,0.1858974358974359,0.1858974358974359,0.6410256410256411,0.34615384615384615,0.6153846153846154,0.1858974358974359,0.8076923076923077,0.9743589743589743,0.48717948717948717,0.44871794871794873,0.8974358974358975,0.38461538461538464,0.3974358974358974,0.3076923076923077,0.0641025641025641,0.038461538461538464,0.6923076923076923,0.4230769230769231,0.41025641025641024,0.4358974358974359,0.1858974358974359,0.9871794871794872,1.0,0.7692307692307693,0.1858974358974359,0.1858974358974359,0.5384615384615384,0.8205128205128205,0.6025641025641025,0.5769230769230769,0.5641025641025641,0.3717948717948718,0.5897435897435898,0.1858974358974359,0.6666666666666666,0.47435897435897434,0.1858974358974359
2018,0.8717948717948718,0.17307692307692307,0.32051282051282054,0.7564102564102564,0.5769230769230769,0.8846153846153846,0.17307692307692307,0.17307692307692307,0.17307692307692307,0.9615384615384616,0.3974358974358974,0.17307692307692307,1.0,0.17307692307692307,0.6794871794871795,0.6666666666666666,0.5256410256410257,0.717948717948718,0.6153846153846154,0.8589743589743589,0.782051282051282,0.7435897435897436,0.7948717948717948,0.17307692307692307,0.3076923076923077,0.0641025641025641,0.8333333333333334,0.6282051282051282,0.2948717948717949,0.5641025641025641,0.8205128205128205,0.8461538461538461,0.28205128205128205,0.6538461538461539,0.48717948717948717,0.5897435897435898,0.038461538461538464,0.17307692307692307,0.05128205128205128,0.9230769230769231,0.9487179487179487,0.17307692307692307,0.17307692307692307,0.7692307692307693,0.38461538461538464,0.6923076923076923,0.17307692307692307,0.8076923076923077,0.9743589743589743,0.46153846153846156,0.4230769230769231,0.9102564102564102,0.4358974358974359,0.44871794871794873,0.47435897435897434,0.02564102564102564,0.9358974358974359,0.6410256410256411,0.358974358974359,0.5,0.3717948717948718,0.17307692307692307,0.01282051282051282,0.9871794871794872,0.7051282051282052,0.17307692307692307,0.17307692307692307,0.41025641025641024,0.8974358974358975,0.5384615384615384,0.5512820512820513,0.34615384615384615,0.3333333333333333,0.6025641025641025,0.17307692307692307,0.7307692307692307,0.5128205128205128,0.17307692307692307
2019,0.8333333333333334,0.1987179487179487,0.44871794871794873,0.5512820512820513,0.6794871794871795,0.9230769230769231,0.1987179487179487,0.1987179487179487,0.1987179487179487,1.0,0.7051282051282052,0.1987179487179487,0.02564102564102564,0.08974358974358974,0.10256410256410256,0.8461538461538461,0.38461538461538464,0.8205128205128205,0.7692307692307693,0.8589743589743589,0.8717948717948718,0.5769230769230769,0.9615384615384616,0.1987179487179487,0.5641025641025641,0.4358974358974359,0.05128205128205128,0.717948717948718,0.07692307692307693,0.5,0.8974358974358975,0.9102564102564102,0.3717948717948718,0.7564102564102564,0.41025641025641024,0.6282051282051282,0.038461538461538464,0.1987179487179487,0.0641025641025641,0.8846153846153846,0.9487179487179487,0.1987179487179487,0.1987179487179487,0.782051282051282,0.34615384615384615,0.6923076923076923,0.1987179487179487,0.3974358974358974,0.9743589743589743,0.4230769230769231,0.47435897435897434,0.9358974358974359,0.5897435897435898,0.6153846153846154,0.46153846153846156,0.7948717948717948,0.7435897435897436,0.6410256410256411,0.48717948717948717,0.5384615384615384,0.358974358974359,0.1987179487179487,0.9871794871794872,0.01282051282051282,0.6538461538461539,0.1987179487179487,0.1987179487179487,0.3076923076923077,0.8076923076923077,0.5256410256410257,0.5128205128205128,0.32051282051282054,0.3333333333333333,0.2948717948717949,0.1987179487179487,0.6666666666666666,0.6025641025641025,0.7307692307692307
2020,0.782051282051282,0.1794871794871795,0.2692307692307692,0.5256410256410257,0.7307692307692307,0.7948717948717948,0.1794871794871795,0.1794871794871795,0.1794871794871795,0.9615384615384616,0.6538461538461539,0.1794871794871795,0.9743589743589743,0.038461538461538464,0.08974358974358974,0.7692307692307693,0.02564102564102564,0.8205128205128205,0.7435897435897436,0.7051282051282052,0.8461538461538461,0.5769230769230769,1.0,0.1794871794871795,0.8076923076923077,0.46153846153846156,0.01282051282051282,0.717948717948718,0.07692307692307693,0.3333333333333333,0.9230769230769231,0.8333333333333334,0.47435897435897434,0.6666666666666666,0.5128205128205128,0.6923076923076923,0.5512820512820513,0.1794871794871795,0.0641025641025641,0.8974358974358975,0.8717948717948718,0.1794871794871795,0.1794871794871795,0.7564102564102564,0.3974358974358974,0.38461538461538464,0.05128205128205128,0.2948717948717949,0.8846153846153846,0.28205128205128205,0.44871794871794873,0.9102564102564102,0.4230769230769231,0.4358974358974359,0.32051282051282054,0.6153846153846154,0.8589743589743589,0.3717948717948718,0.34615384615384615,0.6794871794871795,0.41025641025641024,0.1794871794871795,0.9487179487179487,0.9871794871794872,0.6282051282051282,0.1794871794871795,0.1794871794871795,0.48717948717948717,0.9358974358974359,0.5,0.6410256410256411,0.358974358974359,0.5897435897435898,0.6025641025641025,0.1794871794871795,0.5641025641025641,0.5384615384615384,0.3076923076923077
2021,0.717948717948718,0.10256410256410256,0.2692307692307692,0.5384615384615384,0.7948717948717948,0.7564102564102564,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.9743589743589743,0.5256410256410257,0.10256410256410256,1.0,0.34615384615384615,0.7307692307692307,0.8974358974358975,0.1794871794871795,0.7692307692307693,0.6410256410256411,0.46153846153846156,0.6538461538461539,0.8461538461538461,0.8717948717948718,0.9615384615384616,0.5,0.3717948717948718,0.01282051282051282,0.5769230769230769,0.20512820512820512,0.2948717948717949,0.8333333333333334,0.6794871794871795,0.47435897435897434,0.5897435897435898,0.7435897435897436,0.8846153846153846,0.6153846153846154,0.3076923076923077,0.16666666666666666,0.9230769230769231,0.9102564102564102,0.10256410256410256,0.10256410256410256,0.7051282051282052,0.358974358974359,0.23076923076923078,0.2564102564102564,0.19230769230769232,0.8589743589743589,0.3974358974358974,0.4358974358974359,0.8205128205128205,0.6666666666666666,0.6923076923076923,0.28205128205128205,0.5128205128205128,0.5641025641025641,0.3333333333333333,0.21794871794871795,0.6025641025641025,0.4230769230769231,0.10256410256410256,0.9358974358974359,0.9487179487179487,0.6282051282051282,0.038461538461538464,0.10256410256410256,0.5512820512820513,0.9871794871794872,0.02564102564102564,0.38461538461538464,0.24358974358974358,0.8076923076923077,0.782051282051282,0.41025641025641024,0.44871794871794873,0.48717948717948717,0.32051282051282054
2022,0.7564102564102564,0.11538461538461539,0.3717948717948718,0.3076923076923077,0.6666666666666666,0.7435897435897436,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.9871794871794872,0.6282051282051282,0.11538461538461539,1.0,0.2564102564102564,0.28205128205128205,0.8846153846153846,0.23076923076923078,0.8461538461538461,0.5256410256410257,0.5,0.7948717948717948,0.6025641025641025,0.1794871794871795,0.9615384615384616,0.48717948717948717,0.47435897435897434,0.01282051282051282,0.6923076923076923,0.038461538461538464,0.21794871794871795,0.9102564102564102,0.8589743589743589,0.4358974358974359,0.5128205128205128,0.7307692307692307,0.8717948717948718,0.6794871794871795,0.8076923076923077,0.05128205128205128,0.8205128205128205,0.9358974358974359,0.11538461538461539,0.11538461538461539,0.5769230769230769,0.4230769230769231,0.358974358974359,0.32051282051282054,0.20512820512820512,0.9487179487179487,0.46153846153846156,0.24358974358974358,0.9230769230769231,0.7692307692307693,0.782051282051282,0.2948717948717949,0.5897435897435898,0.3333333333333333,0.3974358974358974,0.34615384615384615,0.6410256410256411,0.2692307692307692,0.11538461538461539,0.8974358974358975,0.9743589743589743,0.7051282051282052,0.19230769230769232,0.11538461538461539,0.6538461538461539,0.8333333333333334,0.02564102564102564,0.38461538461538464,0.6153846153846154,0.5384615384615384,0.717948717948718,0.5512820512820513,0.44871794871794873,0.5641025641025641,0.41025641025641024
2023,0.7948717948717948,0.9358974358974359,0.5384615384615384,0.44871794871794873,0.6282051282051282,0.7692307692307693,0.09615384615384616,0.09615384615384616,0.09615384615384616,0.9871794871794872,0.4358974358974359,0.09615384615384616,0.9743589743589743,0.3717948717948718,0.02564102564102564,0.9487179487179487,0.2948717948717949,0.8717948717948718,0.47435897435897434,0.6025641025641025,0.8205128205128205,0.32051282051282054,0.8846153846153846,1.0,0.41025641025641024,0.34615384615384615,0.9615384615384616,0.6666666666666666,0.19230769230769232,0.21794871794871795,0.8589743589743589,0.7051282051282052,0.2692307692307692,0.6410256410256411,0.5256410256410257,0.7564102564102564,0.6538461538461539,0.717948717948718,0.5128205128205128,0.8076923076923077,0.8461538461538461,0.09615384615384616,0.09615384615384616,0.6153846153846154,0.20512820512820512,0.24358974358974358,0.3974358974358974,0.038461538461538464,0.8974358974358975,0.23076923076923078,0.15384615384615385,0.9230769230769231,0.6794871794871795,0.6923076923076923,0.5,0.7435897435897436,0.782051282051282,0.358974358974359,0.3076923076923077,0.5512820512820513,0.2564102564102564,0.09615384615384616,0.9102564102564102,0.01282051282051282,0.48717948717948717,0.28205128205128205,0.09615384615384616,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.38461538461538464,0.5897435897435898,0.1794871794871795,0.5641025641025641,0.7307692307692307,0.4230769230769231,0.5769230769230769,0.46153846153846156
2024,0.782051282051282,0.7948717948717948,0.6410256410256411,0.6153846153846154,0.21794871794871795,0.8205128205128205,0.10897435897435898,0.10897435897435898,0.10897435897435898,1.0,0.358974358974359,0.10897435897435898,0.9615384615384616,0.2948717948717949,0.05128205128205128,0.9871794871794872,0.5769230769230769,0.8846153846153846,0.6282051282051282,0.20512820512820512,0.8589743589743589,0.2692307692307692,0.038461538461538464,0.9743589743589743,0.6025641025641025,0.5128205128205128,0.02564102564102564,0.6538461538461539,0.3076923076923077,0.19230769230769232,0.8333333333333334,0.7564102564102564,0.4230769230769231,0.7307692307692307,0.32051282051282054,0.6923076923076923,0.5512820512820513,0.717948717948718,0.9358974358974359,0.8717948717948718,0.9102564102564102,0.10897435897435898,0.10897435897435898,0.6666666666666666,0.24358974358974358,0.3333333333333333,0.47435897435897434,0.48717948717948717,0.8461538461538461,0.38461538461538464,0.1794871794871795,0.9230769230769231,0.44871794871794873,0.46153846153846156,0.7435897435897436,0.5256410256410257,0.8076923076923077,0.41025641025641024,0.23076923076923078,0.5,0.2564102564102564,0.10897435897435898,0.8974358974358975,0.01282051282051282,0.34615384615384615,0.28205128205128205,0.10897435897435898,0.3974358974358974,0.9487179487179487,0.4358974358974359,0.6794871794871795,0.7051282051282052,0.16666666666666666,0.5384615384615384,0.7692307692307693,0.3717948717948718,0.5897435897435898,0.5641025641025641
