date,ABEV3,ALOS3,ANIM3,AXIA3,AZZA3,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRAV3,BRKM5,CMIG4,COGN3,CPFE3,CPLE3,CSAN3,CSMG3,CSNA3,CVCB3,CXSE3,CYRE3,DIRR3,ECOR3,EGIE3,EMBJ3,ENEV3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GOAU4,HYPE3,IGTI11,IRBR3,ISAE4,ITSA4,ITUB3,ITUB4,JHSF3,KLBN11,LREN3,MDNE3,MGLU3,MOTV3,MOVI3,MRVE3,MULT3,PETR3,PETR4,POMO4,PRIO3,PSSA3,RADL3,RAIL3,RAPT4,RENT3,SANB11,SAPR11,SBSP3,SLCE3,SMFT3,SMTO3,SUZB3,TAEE11,TEND3,TOTS3,UGPA3,USIM5,VALE3,VBBR3,VIVT3,WEGE3,YDUQ3
2022-04-01,-0.0006473566271059,0.0,0.0454597205731666,0.0347561760164694,0.0392539707231247,0.0210069317767238,-0.0005767902839269,-0.0065684833165682,-0.0108045533474822,0.0136935062506209,0.0110609664553356,0.0226569620415655,0.0287209344041328,0.0107523288572664,0.0022567002392901,0.0039410694207786,0.0777262180974476,0.0328452354133814,0.0117798934968533,0.0063418627324738,0.0517939532106606,0.0046146214279945,0.0095865787896944,-0.012378814496714,0.0257261985086763,0.037006252032814,0.0222761652432617,0.025673792301998,0.0066882228244828,0.0182679296346415,0.0309360319988747,0.0110246111634517,0.0506707456441091,0.0374759795132382,-0.0055204358833467,-0.0016185880466516,0.0131743076422043,0.0611231496227449,0.0028568276267881,0.0,0.0037208686440677,0.0024455252383701,0.0028289488338939,0.0350124521273256,-0.016170722481402,0.0567224928599168,0.0194757070715774,0.0777130160417365,0.0394181218011184,0.0406376631537888,0.0210166415504027,0.0367629168978036,-0.0002845037715972,-0.01315412699549,0.0,0.0285590489571678,0.0119768447667842,0.0083509456942256,0.02425905284518,0.0037501674181883,0.0201304730107785,0.0002741208295762,0.0137406032924161,0.0746249551994264,0.0116478404165056,0.0711577629682074,0.00090171563961,-0.0170426096021407,0.0024909675193811,0.0233104288075149,0.0112701824188705,0.0339256595726888,-0.0143198481277821,0.0142256517378196,0.0286576612618549,0.0184792445586099,0.0146258514033503,0.0487114070742886
2022-04-04,-0.012997043484038,0.0,0.0131615793895267,0.007631689385579,0.0029871738625513,0.0062317318068447,-0.0092339706073611,-0.0034617348484191,-0.0041468440735746,-0.0042433956389884,0.0304672964076142,-0.0093891999096226,0.0014696870812016,0.0113474816576173,0.0031536724116925,-0.0058883975476555,0.0065738889743196,-0.0068985716778423,-0.0203548644338118,-0.0092449148398477,-0.0402225295708358,0.010702679114847,0.0118694362017803,-0.0318866836860742,-0.0178366617190661,-0.0166579543474473,-0.0128138302493266,-0.014430811536585,0.0126145337020624,-0.0159468438538206,-0.0121221819402835,-0.0047246926497513,-0.0101490988805033,0.0054171768681123,-0.0156617920436237,-0.008181818181818,-0.0056099705855594,0.0073712854478622,0.022792449066108,0.0086979198625514,-0.0064906795424862,-0.0059275807247409,-0.0090792980897378,-0.0029318990617922,-0.00758813666122,0.0113598303003237,-0.0073371540633294,-0.0217682244823085,-0.0309044992694071,-0.0176026764952904,-0.0160133312172671,-0.0059091058429276,-0.0102219760948821,-0.0093850311020837,-0.0037335902685775,-0.0053086414703873,-0.0033473003425006,-0.0037256930721647,-0.0063173520696024,0.0158564248543344,-0.0048117587731723,-0.0184331797235023,-0.017434183766059,0.0054553684160374,-0.0105209706223006,-0.0295226281078027,0.0099099360913477,-0.0016617849992588,0.0074579561795269,-0.0444174609920466,0.0193002947883642,-0.0177690428818685,0.0196084942469574,0.0101082590164796,-0.0029111831757635,-0.0108199561098422,-0.0101758515305367,-0.0031903927430162
2022-04-05,-0.0079009146213198,0.0,-0.0247067133468461,-0.0386345406305917,-0.0041477174045889,-0.0192044090595947,-0.0264833289577317,-0.0265655802482002,-0.027888480141699,-0.0108563487927739,0.0128908487994583,-0.0394206644871891,-0.0155508461928782,0.0144916603172926,-0.0330047880415742,-0.0059348904193912,-0.0293320093190238,-0.0003012029291984,-0.0088931398685362,-0.0076337638376382,0.0021615459893107,-0.0257291536477565,0.0134897360703811,-0.0447098453529322,-0.0334876052927589,-0.0491902044866569,-0.0064974113022691,-0.0032033448975584,-0.0550810092262336,-0.0108035111411208,-0.0142811241140683,-0.0120525961333136,-0.0507755378048266,-0.0239491879475538,-0.0006662364982189,-0.0082340360525512,0.0012838497194436,-0.0123486339812133,-0.0529246832220635,-0.0086229184092465,-0.0261190561553067,-0.0255268400625935,-0.0201518675222057,-0.0044209202814787,-0.0127364201350587,-0.0486592153074835,-0.0207435665991109,-0.0389432318919361,-0.0094214645540274,-0.0156783223700479,-0.048797600038709,0.0210054673704687,-0.001142324280219,-0.0094830979340393,-0.0488394584139264,-0.0127256803818939,-0.0105554189481763,-0.0162421886839547,-0.0190669280062003,-0.0119310843056984,-0.0182176426887172,-0.0226476228261587,-0.0009807980129287,-0.0085295929488699,-0.0088280236413436,-0.0527970388648982,0.0142730079003818,0.0009242859263873,-0.0098691306536277,-0.0393280557073332,-0.0130674279281089,-0.0146156696446951,-0.0242142973457091,-0.0288964170811022,-0.0333612490965616,0.0113103285575588,-0.0111363912241004,-0.0429418668983098
2022-04-06,-0.0079638362112834,0.0,-0.0373297646225301,0.0375621355702673,-0.0086529530236889,0.0025272091356076,0.0050817461655148,-0.0079578909804621,-0.0051770806871237,0.0094067374952437,0.0172175895374646,-0.0090800761583144,0.0053615103187596,0.0154372397382509,-0.0125380719242352,0.0072905713284261,-0.050324611449931,0.0048332527791201,0.0029772904603506,-0.0046991563829046,0.0187466466359051,-0.0279596727639549,-0.089699074074074,0.0,-0.0358205772869821,-0.0017145626001714,-0.0104667985473442,0.0052780844575599,-0.0138799899713069,0.0081911262798635,-0.0061233341325366,-0.0170046678665396,-0.0318705586920514,-0.0153365027719424,-0.0039790861750378,-0.0049752776451378,-0.006146049381588,-0.0185270363171456,-0.0029423656741168,-0.0094547053649955,-0.007662730768182,-0.0034946236559139,-0.0003717493380002,-0.0251970749394008,0.013761867907869,-0.032543477525129,0.0589923303013966,-0.0419685050566652,-0.0124321423229541,-0.0244555464633848,-0.01710032131987,-0.0333825045895742,0.0031585990135212,-0.0009241204683442,0.0237036095577021,-0.0207901246907717,-0.0072736530103831,0.0004213674051922,-0.0226780868191135,-0.0278836353968183,-0.0300501727257772,0.0028265469894643,-0.0009881359930128,-0.0154614539024039,-0.0046540309725759,-0.0647173143955773,0.0125349482610983,0.0215982901875904,-0.0033987545162402,-0.0471548371736196,-0.0248571195772371,-0.016954959471881,-0.0102214508619394,0.015140587987753,-0.0289049241030632,0.014665045690881,-0.0086619600832202,-0.0267266715650256
2022-04-07,0.0073609246894477,0.0,0.0124623838806752,0.031392852945361,0.018210179404279,-0.0012640307412276,0.0184466263635829,0.0034353135847766,0.0042618389306658,0.0093190753992649,0.0029403835136319,0.0211088233727967,-0.0068156800852462,0.0015890916547058,0.06959895114816,-0.0052543670401558,0.0212131256214782,0.0060156293922528,-0.0029684525149957,-0.0085880803608954,0.0077841094620643,0.005596813475543,0.0038143674507309,0.0036864882192657,-0.0158298703572316,0.0076541089497068,0.0039684315743933,0.0025108702308775,-0.006334969455136,0.002708192281652,-0.0135527064754831,-0.0214385386274261,-0.0145052842649399,0.000625581469956,-0.0243177434146033,-0.0267190934703861,-0.004896988566543,0.0103807100204087,-0.0353973967588584,0.0049608961618872,-0.0086837043143719,0.0,-0.0007494965214207,-0.0045553326646605,-0.0165427439342376,-0.0085057471264368,0.0514361728334236,-0.0090638626303672,0.0044456719290117,-0.0058348723759629,-0.0281712008556593,-0.0024111140877951,0.0500837572899863,0.0519096114178945,0.0076975603699795,0.0004253111150807,0.0083038729018982,-0.0135414826791302,-0.0022085400788514,-0.0086038905539538,-0.0148969909223117,0.0352210074175134,0.0014804793690095,0.0294181897618874,-0.0382304464212654,-0.0020166456831527,-0.0045621739484837,-0.0157202543216894,0.0009108828641071,-0.0169218595999278,-0.0105311218673717,-0.0186754617862819,-0.0014752868379123,0.0060072156899508,-0.0039964069002181,-0.0216818463170924,-0.0061182566619781,0.0166750856235671
2022-04-08,-0.0086310786726639,0.0,-0.0328239589054372,0.0530179445350733,-0.0187317542653904,-0.0157733725799336,0.0178161250751258,0.0051442910915935,0.0112932924156072,0.0076874903044543,0.0330138355692577,-0.0019512152724965,-0.0194031285900089,-0.0009066116850547,-0.0296765016625426,0.0046291437833048,-0.0207724764686788,0.0116612644834395,-0.001498911749004,0.0086624743870555,0.0435427902504284,0.0222447579562738,-0.0500316656111462,-0.0073458958799105,-0.0210371590941008,-0.0177115755150437,-0.00132253510662,0.0013642842598249,-0.0127436068742982,0.0405131667792031,-0.0010414090621823,-0.006918157462622,-0.0345429430102107,-0.0155656369727962,0.0034139279617986,0.0068711031937904,0.0077665717145276,0.011675519313733,-0.0030577669169142,0.0132990199100042,0.0,0.0026266096858005,-0.001872283900076,-0.0106847474705066,0.0038813509287909,-0.0033568886783132,-0.035331052902863,-0.0655485064939386,0.003689807792945,0.0082152848705538,-0.013632974757695,-0.0169090002301848,0.0109008729560862,0.0049945921229654,0.007700363457155,0.0008502606048754,0.0324635610001271,-0.0175884818628825,0.0116249031258073,-0.0057933698101061,-0.0072178858954246,-0.0264013497563343,0.023671768469077,-0.0029001909881871,0.0192400017015792,0.0045549948644665,0.0163619381501336,0.0005505921462705,0.0068108434743674,-0.0198678302126579,0.0005609624426596,0.0051280274418765,-0.0361852658595477,-0.0203849850024752,-0.0151662954850821,-0.008862235398326,0.0005846047688415,-0.0183343980169584
2022-04-11,0.0180801794320837,0.0,-0.0410194742292148,-0.0272730897161344,-0.0394738043408794,-0.0461532809170401,0.0063093013662063,0.0017030154965493,-0.0013958972758327,-0.0103029300917398,-0.0355124378918606,-0.0132846244949142,-0.0054809225703565,0.0009074343756632,0.0188025123437149,-0.005930964042805,-0.0565130924759695,0.0011784635781098,-0.0090069711489029,-0.0120251804944567,-0.0444101680655434,-0.0089400340795031,-0.0146666666666667,-0.0086693836693837,-0.0208676026165792,-0.0248962655601658,-0.0065767937386542,0.0011387437216583,-0.0107627515208236,-0.0064892926670993,-0.0081254074393963,-0.0131581810033112,0.0,-0.0354258264126363,-0.0037414673011908,-0.0085302666498168,0.0097663232970814,-0.0341638484367451,-0.0245403230136995,-0.0022507794084101,-0.0087597715806397,-0.0048075561471578,-0.0037515918451637,-0.0061745422139236,-0.0073079352632383,0.0007484878522445,-0.0070432797396414,-0.0081569845515975,-0.00808596753241,0.0075610758750292,-0.0216139365799231,-0.0065511555984819,-0.0132088429112056,-0.0075946487474954,-0.0114317153686269,-0.0097526994078719,0.0140762463343107,-0.0091689955229877,-0.0010910948091744,0.0009711880867595,-0.001211727090446,-0.0058719403806534,0.0033675063646492,-0.0061956110480513,0.0107858978410317,-0.0246888197377194,-0.0087995588890651,-0.0056877057095097,-0.003380577048232,-0.0040483496852082,-0.0078370142181523,-0.0021889758350855,-0.0076646811492642,-0.0120856743660633,-0.0108708517888624,-0.0016779518044821,-0.0465718436217933,-0.0388164298228538
2022-04-12,-0.0098633592600378,0.0,-0.0103277717788845,0.0124628558881649,0.013923627801631,-0.0356138634455238,-0.0019934569598173,-0.0068093818149451,-0.0088559347786451,-0.0084860006913239,-0.0294509460051937,-0.0178233375843398,-0.0104047202661116,0.0020398762913733,-0.017567195564017,-0.0145714385792847,0.0449235903741436,-0.0011770764364009,-0.0136125002593845,0.0143411530589574,-0.0091606573872212,0.0086320599180365,0.0115020297699595,0.0162101732811625,-0.0058018010978492,0.0202707930367505,0.0106045174045892,0.002953303678427,-0.0166800087329889,0.0111038536903984,-0.00210206962343,-0.0007848497541833,-0.0099767016946857,-0.0150841148317281,0.0010212848736361,0.0043018290739915,-0.0002572304451902,0.0028685763286306,-0.0283020089892879,-0.0052585852119436,-0.0098299681190223,-0.0166836230141509,-0.0176942742641301,-0.021734489090055,-0.0060616366967645,-0.0205579138872044,-0.0212797182271792,-0.0180911542784906,0.0059245928512883,0.0,0.0008829209969649,0.0008249083026039,0.0010883245724437,-0.0029447290232139,-0.0038340238698905,0.0171280766624057,-0.0087912087912086,-0.0004433544005283,0.0115038694833717,-0.0193818148216595,0.0050264125391197,-0.0132160238210132,-0.0158380584885292,-0.0159782039689717,-0.0125171063187201,-0.001549707435747,0.0047627030816594,-0.0127332266835968,0.0076946797511292,-0.0230724721539129,0.0098736476900223,0.0321207096094384,0.0061791057951186,-0.0067027859817737,-0.0041190104297877,-0.010080065038571,-0.0055286175442356,-0.0362987223405241
2022-04-13,-0.0146154630069977,0.0,-0.0342806863176418,0.027218418191492,0.0253595821615104,0.0041777834582141,0.0048566757142052,0.0097150026886541,0.0103454015084489,0.0089479219322863,0.0326206878578068,0.0229856137733965,-0.0015469648026178,0.0198951249647334,-0.0031670233982984,0.0342776573182148,-0.0179029207816768,0.019205273624512,0.0076785526454192,-0.0094224881519899,0.0234518797469693,0.0229366367383156,-0.0280936454849498,-0.0220731750594413,0.0032420324596218,0.011185258208842,0.0078699312307326,-0.0038518866548935,0.0250743794313119,-0.0058139534883721,0.0048438329363966,-0.0031374521770212,0.0035543751037507,0.0033338475514645,0.0116005398110661,0.007694260240505,0.0025457231246102,0.0109630594773968,0.0129452264789784,0.0,0.0009885190572354,0.0022284606257054,0.0026846581750186,0.0,-0.0030465425605307,0.017940065630611,-0.0159444194531914,0.010050710736668,-0.0036843829986981,0.0392629722995323,0.0017642842703029,-0.0032969135590475,0.0245679167560293,0.0212664361697425,0.0038487801849897,0.0248440656379285,-0.0256797759365153,-0.0123439313722713,0.0043366878044295,-0.0039459115644655,-0.0058628925330718,-0.0005724163551862,0.008774528652744,0.0053440375291684,-0.007896969045315,-0.0015521127564267,0.0032333988102912,0.0054195955822469,-0.0085359619247855,-0.004160805508255,0.0189946722260829,0.0403092861147604,-0.0038426108698513,0.0003211177320605,0.0147101605089738,0.0071652671403525,0.0058691413813189,-0.0127354497036801
2022-04-14,-0.0087735174220681,0.0,-0.023142664504255,0.0,-0.0006478274271324,0.005552506184919,0.0008496176720476,0.0028225520130653,-0.0023236054032496,0.008482726450788,0.0029444921171739,-0.0106416619087353,0.0086711729455204,-0.0157391685903427,-0.0093115764012247,0.0045479539934931,-0.0073173862809705,0.0179761883254141,0.0167432150313151,0.0021592785469324,0.0104184969664395,-0.0330656805172718,-0.0116999311768754,-0.005025946220561,-0.0097044595467987,-0.0059619783268964,-0.0182197844212754,0.002049271979865,-0.0143892683349456,0.0110461338531513,-0.0069140609875492,0.0192912096181598,-0.012980062856976,0.0278719751262055,-0.007753509890661,0.0025504179851698,-0.0165006536855486,-0.0419620202182932,-0.0287541144867768,0.0030237095604381,0.0010016506073387,0.007132544036962,0.0064949110530407,-0.0190528153644696,-0.0043678759058222,0.0026205211643832,0.0147297846403902,-0.0033168997126681,-0.0022134710604215,0.0272218054864241,-0.0229044744904509,-0.0066107159557973,0.004973328809938,-0.0107191715586957,0.0230659823140189,0.0230072836508785,-0.0023955108127369,-0.0062491041995127,-0.0075550039748126,0.0396863876636353,-0.0081521916210328,-0.0048474641845223,-0.011116457230696,-0.0098375245036138,0.0079598275571397,0.0103673138141313,0.0002141931972241,-0.003345318973008,0.0036238856914612,-0.0404585600856454,-0.0405700232933695,0.0210749851188081,-0.0046236360273719,-0.014024706014179,0.0280900977263662,0.0058041256476386,-0.0082920460632029,-0.0709272481784676
