CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
61.022.042/0001-18;2021-06-30;1;CONSTRUTORA ADOLPHO LINDENBERG S.A.;124040;248079;372119;0;0;0
61.022.042/0001-18;2021-09-30;1;CONSTRUTORA ADOLPHO LINDENBERG S.A.;124040;248079;372119;0;0;0
61.065.298/0001-02;2021-03-31;1;MANGELS INDUSTRIAL S.A.;2067243;3715969;5783212;0;0;0
61.065.298/0001-02;2021-06-30;1;MANGELS INDUSTRIAL S.A.;2067243;3715969;5783212;0;0;0
61.065.298/0001-02;2021-09-30;1;MANGELS INDUSTRIAL S.A.;2067243;3715969;5783212;0;0;0
61.065.751/0001-80;2021-03-31;1;ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL;17153337;0;17153337;245081;0;245081
61.065.751/0001-80;2021-06-30;1;ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL;17153337;0;17153337;245081;0;245081
61.065.751/0001-80;2021-09-30;1;ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL;17153337;0;17153337;245081;0;245081
61.079.117/0001-05;2021-03-31;1;ALPARGATAS S.A.;302010689;286051533;588062222;32;9117409;9117441
61.079.117/0001-05;2021-06-30;2;ALPARGATAS S.A.;302010657;277007759;579018416;32;9043774;9043806
61.079.117/0001-05;2021-09-30;1;ALPARGATAS S.A.;302010657;277007759;579018416;32;9043774;9043806
61.080.313/0001-91;2021-03-31;1;COBRASMA S.A.;403041;622808;1025849;0;0;0
61.080.313/0001-91;2021-06-30;1;COBRASMA S.A.;403041;622808;1025849;0;0;0
61.080.313/0001-91;2021-09-30;1;COBRASMA S.A.;403041;622808;1025849;0;0;0
61.082.004/0001-50;2021-03-31;1;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;269;539;808;0;0;0
61.082.004/0001-50;2021-06-30;1;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;269;539;808;0;0;0
61.082.004/0001-50;2021-09-30;2;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;269;539;808;0;0;0
61.088.894/0001-08;2021-03-31;1;CAMBUCI S.A.;42265;0;42265;0;0;0
61.088.894/0001-08;2021-06-30;1;CAMBUCI S.A.;42265;0;42265;0;0;0
61.088.894/0001-08;2021-09-30;1;CAMBUCI S.A.;42275;0;42275;0;0;0
61.092.037/0001-81;2021-03-31;1;ETERNIT S.A.;51676;0;51676;10;0;10
61.092.037/0001-81;2021-06-30;1;ETERNIT S.A.;61777;0;61777;10;0;10
61.092.037/0001-81;2021-09-30;1;ETERNIT S.A.;61777;0;61777;10;0;10
61.156.113/0001-75;2021-03-31;1;IOCHPE MAXION S.A.;153720;0;153720;1350;0;1350
61.156.113/0001-75;2021-06-30;1;IOCHPE MAXION S.A.;153720;0;153720;1350;0;1350
61.156.113/0001-75;2021-09-30;1;IOCHPE MAXION S.A.;153720;0;153720;1350;0;1350
61.156.931/0001-78;2021-03-31;1;ALIPERTI S.A.;6250;12345;18595;0;380;380
61.156.931/0001-78;2021-06-30;1;ALIPERTI S.A.;6250;12345;18595;0;380;380
61.156.931/0001-78;2021-09-30;1;ALIPERTI S.A.;6250;12345;18595;0;380;380
61.186.680/0001-74;2021-03-31;2;BANCO BMG S/A;398696198;184536213;583232411;0;0;0
61.186.680/0001-74;2021-06-30;1;BANCO BMG S/A;398696198;184536213;583232411;0;51107;51107
61.186.680/0001-74;2021-09-30;1;BANCO BMG S/A;372696198;210536213;583232411;0;51107;51107
61.189.288/0001-89;2021-03-31;1;MARISA LOJAS S.A.;261667;0;261667;169;0;169
61.189.288/0001-89;2021-06-30;1;MARISA LOJAS S.A.;261667;0;261667;169;0;169
61.189.288/0001-89;2021-09-30;1;MARISA LOJAS S.A.;261667;0;261667;169;0;169
61.190.096/0001-92;2021-03-31;1;EUROFARMA LABORATÓRIOS S.A.;857863854;0;857863854;0;0;0
61.190.096/0001-92;2021-06-30;1;EUROFARMA LABORATÓRIOS S.A.;858714812;0;858714812;0;0;0
61.190.096/0001-92;2021-09-30;1;EUROFARMA LABORATÓRIOS S.A.;858714812;0;858714812;0;0;0
61.351.532/0001-68;2021-03-31;2;AZEVEDO E TRAVASSOS S.A.;6600000;13200000;19800000;0;0;0
61.351.532/0001-68;2021-06-30;2;AZEVEDO E TRAVASSOS S.A.;6600000;13200000;19800000;0;0;0
61.351.532/0001-68;2021-09-30;1;AZEVEDO E TRAVASSOS S.A.;18150000;36300000;54450000;0;0;0
61.374.161/0001-30;2021-03-31;1;BAUMER S.A.;4900000;4900000;9800000;11890;3100;14990
61.374.161/0001-30;2021-06-30;1;BAUMER S.A.;4900000;4900000;9800000;11890;3100;14990
61.374.161/0001-30;2021-09-30;1;BAUMER S.A.;4900000;4900000;9800000;11890;3600;15490
61.409.892/0001-73;2021-03-31;1;COMPANHIA BRASILEIRA DE ALUMÍNIO;1233375761;0;1233375761;0;0;0
61.409.892/0001-73;2021-06-30;4;COMPANHIA BRASILEIRA DE ALUMÍNIO;533333333;0;533333333;0;0;0
61.409.892/0001-73;2021-09-30;3;COMPANHIA BRASILEIRA DE ALUMÍNIO;595833333;0;595833333;0;0;0
61.486.650/0001-83;2021-03-31;1;DIAGNOSTICOS DA AMERICA S.A.;480813758;0;480813758;91666;0;91666
61.486.650/0001-83;2021-06-30;1;DIAGNOSTICOS DA AMERICA S.A.;547963188;0;547963188;91666;0;91666
61.486.650/0001-83;2021-09-30;1;DIAGNOSTICOS DA AMERICA S.A.;547963188;0;547963188;91666;0;91666
61.532.644/0001-15;2021-03-31;1;ITAÚSA S.A.;2889838;5520977;8410815;0;0;0
61.532.644/0001-15;2021-06-30;1;ITAÚSA S.A.;2889838;5520977;8410815;0;0;0
61.532.644/0001-15;2021-09-30;1;ITAÚSA S.A.;2889838;5520977;8410815;0;8000;8000
61.584.140/0001-49;2021-03-31;1;REDE ENERGIA PARTICIPAÇÕES S.A.;2110323374;0;2110323374;0;0;0
61.584.140/0001-49;2021-06-30;1;REDE ENERGIA PARTICIPAÇÕES S.A.;2110323374;0;2110323374;0;0;0
61.584.140/0001-49;2021-09-30;1;REDE ENERGIA PARTICIPAÇÕES S.A.;2110323374;0;2110323374;0;0;0
61.585.865/0001-51;2021-03-31;1;RAIA DROGASIL S.A.;1651930000;0;1651930000;1823831;0;1823831
61.585.865/0001-51;2021-06-30;1;RAIA DROGASIL S.A.;1651930000;0;1651930000;1770355;0;1770355
61.585.865/0001-51;2021-09-30;1;RAIA DROGASIL S.A.;1651930000;0;1651930000;4770355;0;4770355
61.695.227/0001-93;2021-03-31;1;ELETROPAULO METROP. ELET. SAO PAULO S.A.;197467;0;197467;0;0;0
61.695.227/0001-93;2021-06-30;1;ELETROPAULO METROP. ELET. SAO PAULO S.A.;197466;0;197466;0;0;0
61.695.227/0001-93;2021-09-30;1;ELETROPAULO METROP. ELET. SAO PAULO S.A.;197467;0;197467;0;0;0
61.856.571/0001-17;2021-03-31;1;CIA GAS DE SAO PAULO - COMGAS;103862768;28657819;132520587;0;0;0
61.856.571/0001-17;2021-06-30;1;CIA GAS DE SAO PAULO - COMGAS;103862768;28657819;132520587;0;0;0
61.856.571/0001-17;2021-09-30;1;CIA GAS DE SAO PAULO - COMGAS;103862768;28657819;132520587;0;0;0
62.002.886/0001-60;2021-03-31;2;SAO PAULO TURISMO S.A.;8407;136;8543;0;1;1
62.002.886/0001-60;2021-06-30;1;SAO PAULO TURISMO S.A.;8407;136;8543;0;1;1
62.002.886/0001-60;2021-09-30;1;SAO PAULO TURISMO S.A.;8407;136;8543;0;1;1
62.144.175/0001-20;2021-03-31;1;BCO PINE S.A;75577842;72579922;148157764;0;0;0
62.144.175/0001-20;2021-06-30;1;BCO PINE S.A;75577842;72579922;148157764;0;0;0
62.144.175/0001-20;2021-09-30;1;BCO PINE S.A;75577842;72579922;148157764;0;0;0
62.232.889/0001-90;2021-03-31;1;BCO DAYCOVAL S.A.;1323471042;567201876;1890672918;0;0;0
62.232.889/0001-90;2021-06-30;1;BCO DAYCOVAL S.A.;1323471042;567201876;1890672918;0;0;0
62.232.889/0001-90;2021-09-30;1;BCO DAYCOVAL S.A.;1323471042;567201876;1890672918;0;0;0
62.258.884/0001-36;2021-03-31;1;INTERCEMENT BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2469585273;0;2469585273;0;0;0
62.258.884/0001-36;2021-06-30;1;INTERCEMENT BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;411597545;0;411597545;0;0;0
62.258.884/0001-36;2021-09-30;2;INTERCEMENT BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;411597545;0;411597545;0;0;0
62.307.848/0001-15;2021-03-31;1;BANCO RCI BRASIL S.A.;202512;201941;404453;0;0;0
62.307.848/0001-15;2021-06-30;1;BANCO RCI BRASIL S.A.;202512;201941;404453;0;0;0
62.307.848/0001-15;2021-09-30;1;BANCO RCI BRASIL S.A.;202512;201941;404453;0;0;0
62.984.091/0001-02;2021-03-31;1;CRUZEIRO DO SUL EDUCACIONAL S.A.;305322240;0;305322240;0;0;0
62.984.091/0001-02;2021-06-30;2;CRUZEIRO DO SUL EDUCACIONAL S.A.;348708952;0;348708952;0;0;0
62.984.091/0001-02;2021-09-30;2;CRUZEIRO DO SUL EDUCACIONAL S.A.;381822240;0;381822240;0;0;0
64.904.295/0001-03;2021-05-31;1;CAMIL ALIMENTOS S.A.;370000000;0;370000000;4865900;0;4865900
64.904.295/0001-03;2021-08-31;1;CAMIL ALIMENTOS S.A.;370000000;0;370000000;6390900;0;6390900
64.904.295/0001-03;2021-11-30;2;CAMIL ALIMENTOS S.A.;370000000;0;370000000;7986500;0;7986500
65.654.303/0001-73;2021-03-31;1;DIBENS LEASING S.A. - ARREND.MERCANTIL;1504997;0;1504997;0;0;0
65.654.303/0001-73;2021-06-30;1;DIBENS LEASING S.A. - ARREND.MERCANTIL;1504997;0;1504997;0;0;0
65.654.303/0001-73;2021-09-30;1;DIBENS LEASING S.A. - ARREND.MERCANTIL;1504997;0;1504997;0;0;0
67.010.660/0001-24;2021-03-31;1;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;43770;0;43770;1567;0;1567
67.010.660/0001-24;2021-06-30;1;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;43770;0;43770;1567;0;1567
67.010.660/0001-24;2021-09-30;1;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;43770;0;43770;1567;0;1567
67.571.414/0001-41;2021-03-31;1;VIVER INCORPORADORA E CONSTRUTORA S.A.;97029;0;97029;0;0;0
67.571.414/0001-41;2021-06-30;2;VIVER INCORPORADORA E CONSTRUTORA S.A.;106507;0;106507;0;0;0
67.571.414/0001-41;2021-09-30;3;VIVER INCORPORADORA E CONSTRUTORA S.A.;140430;0;140430;0;0;0
67.620.377/0001-14;2021-03-31;1;MINERVA S.A.;549621694;0;549621694;23053200;0;23053200
67.620.377/0001-14;2021-06-30;1;MINERVA S.A.;549634220;0;549634220;23053200;0;23053200
67.620.377/0001-14;2021-09-30;1;MINERVA S.A.;549645853;0;549645853;23053200;0;23053200
68.400.225/0001-79;2021-09-30;1;CLARANET TECHNOLOGY S.A.;118743;0;118743;0;0;0
68.400.225/0001-79;2021-12-31;1;CLARANET TECHNOLOGY S.A.;118743;0;118743;0;0;0
69.720.910/0001-45;2021-03-31;1;CCB BRASIL ARRENDAMENTO MERCANTIL S.A.;180920;0;180920;0;0;0
69.720.910/0001-45;2021-06-30;1;CCB BRASIL ARRENDAMENTO MERCANTIL S.A.;180920;0;180920;0;0;0
71.208.516/0001-74;2021-03-31;1;ALGAR TELECOM S/A;295020;0;295020;0;0;0
71.208.516/0001-74;2021-06-30;1;ALGAR TELECOM S/A;295020;0;295020;0;0;0
71.208.516/0001-74;2021-09-30;1;ALGAR TELECOM S/A;295020;0;295020;0;0;0
71.476.527/0001-35;2021-03-31;2;CONSTRUTORA TENDA S.A.;104344;0;104344;8009;0;8009
71.476.527/0001-35;2021-06-30;1;CONSTRUTORA TENDA S.A.;104344;0;104344;8191;0;8191
71.476.527/0001-35;2021-09-30;2;CONSTRUTORA TENDA S.A.;104344;0;104344;8130;0;8130
71.673.990/0001-77;2021-03-31;1;NATURA COSMÉTICOS S.A.;920205;0;920205;0;0;0
71.673.990/0001-77;2021-06-30;1;NATURA COSMÉTICOS S.A.;920205;0;920205;0;0;0
71.673.990/0001-77;2021-09-30;1;NATURA COSMÉTICOS S.A.;920205397;0;920205397;0;0;0
73.178.600/0001-18;2021-03-31;1;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;399743;0;399743;15239;0;15239
73.178.600/0001-18;2021-06-30;1;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;399743;0;399743;15239;0;15239
73.178.600/0001-18;2021-09-30;1;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;399743;0;0;15239;0;0
73.903.718/0001-61;2021-03-31;1;SNB PARTICIPACOES SA;2902487;0;2902487;0;0;0
73.903.718/0001-61;2021-06-30;1;SNB PARTICIPACOES SA;2902487;0;2902487;0;0;0
73.903.718/0001-61;2021-09-30;1;SNB PARTICIPACOES SA;2902487;0;2902487;0;0;0
75.315.333/0001-09;2021-03-31;1;ATACADÃO S.A.;1985232385;0;1985232385;0;0;0
75.315.333/0001-09;2021-06-30;1;ATACADÃO S.A.;1985292385;0;1985292385;0;0;0
75.315.333/0001-09;2021-09-30;1;ATACADÃO S.A.;1985339550;0;1985339550;0;0;0
75.609.123/0001-23;2021-03-31;1;UNIDAS LOCAÇÕES E SERVIÇOS S.A.;371975418;0;371975418;0;0;0
75.609.123/0001-23;2021-06-30;1;UNIDAS LOCAÇÕES E SERVIÇOS S.A.;371975418;0;371975418;0;0;0
75.609.123/0001-23;2021-09-30;1;UNIDAS LOCAÇÕES E SERVIÇOS S.A.;466906294;0;466906294;0;0;0
76.483.817/0001-20;2021-03-31;1;CIA PARANAENSE DE ENERGIA - COPEL;1450310800;1286242950;2736553750;0;0;0
76.483.817/0001-20;2021-06-30;1;CIA PARANAENSE DE ENERGIA - COPEL;1054090460;1682463290;2736553750;0;0;0
76.483.817/0001-20;2021-09-30;1;CIA PARANAENSE DE ENERGIA - COPEL;1054090460;1682463290;2736553750;0;0;0
76.484.013/0001-45;2021-03-31;1;CIA SANEAMENTO DO PARANA - SANEPAR;503735259;1007470260;1511205519;0;0;0
76.484.013/0001-45;2021-06-30;1;CIA SANEAMENTO DO PARANA - SANEPAR;503735259;1007470260;1511205519;0;0;0
76.484.013/0001-45;2021-09-30;1;CIA SANEAMENTO DO PARANA - SANEPAR;503735259;1007470260;1511205519;0;0;0
76.535.764/0001-43;2021-03-31;2;OI S.A. - EM RECUPERAÇÃO JUDICIAL;5796478;157727;5954205;30;1812;1842
76.535.764/0001-43;2021-06-30;1;OI S.A. - EM RECUPERAÇÃO JUDICIAL;6440497;157727;6598224;644020;1812;645832
76.535.764/0001-43;2021-09-30;1;OI S.A. - EM RECUPERAÇÃO JUDICIAL;5796478;157727;5954205;30;1812;1842
76.627.504/0001-06;2021-03-31;2;INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL;5066;3157;8223;0;0;0
76.627.504/0001-06;2021-06-30;1;INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL;5108;3157;8265;0;0;0
76.627.504/0001-06;2021-09-30;1;INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL;102165;63136;165301;0;0;0
78.876.950/0001-71;2021-03-31;1;CIA HERING;162534;0;162534;3857;0;3857
78.876.950/0001-71;2021-06-30;1;CIA HERING;162534;0;162534;6786;0;6786
78.876.950/0001-71;2021-09-30;1;CIA HERING;162534;0;162534;4309;0;4309
79.430.682/0001-22;2021-03-31;1;FARMÁCIA E DROGARIA NISSEI S.A.;152042534;0;152042534;0;0;0
79.430.682/0001-22;2021-06-30;1;FARMÁCIA E DROGARIA NISSEI S.A.;152042534;0;152042534;0;0;0
79.430.682/0001-22;2021-09-30;1;FARMÁCIA E DROGARIA NISSEI S.A.;152042534;0;152042534;0;0;0
79.430.682/0001-22;2021-12-31;1;FARMÁCIA E DROGARIA NISSEI S.A.;152042534;0;152042534;0;0;0
80.227.184/0001-66;2021-03-31;2;METALGRAFICA IGUACU S.A.;80448;160896;241344;0;0;0
80.227.184/0001-66;2021-06-30;1;METALGRAFICA IGUACU S.A.;80448;160896;241344;0;0;0
80.227.184/0001-66;2021-09-30;1;METALGRAFICA IGUACU S.A.;80448;160896;241344;0;0;0
81.243.735/0001-48;2021-03-31;1;POSITIVO TECNOLOGIA S.A.;141800;0;141800;1254;0;1254
81.243.735/0001-48;2021-06-30;1;POSITIVO TECNOLOGIA S.A.;141800;0;141800;1461;0;1461
81.243.735/0001-48;2021-09-30;1;POSITIVO TECNOLOGIA S.A.;141800;0;141800;2031;0;2031
82.120.676/0001-83;2021-03-31;1;ALMEIDA JUNIOR SHOPPING CENTERS S.A.;130000000;0;130000000;0;0;0
82.120.676/0001-83;2021-06-30;1;ALMEIDA JUNIOR SHOPPING CENTERS S.A.;130000000;0;130000000;0;0;0
